invoice_number,vendor_name,invoice_date,po_number,amount,file_format,expected_result,layout
INV-001,Tata Consultancy Services Ltd,2025-01-25,PO-1001,85000,PDF,MATCH,1
INV-002,Tata Consultancy Services Ltd,2025-02-28,PO-1002,42000,PDF,MATCH,2
INV-003,Infosys Technologies Pvt Ltd,2025-02-10,PO-1004,91000,PDF,MATCH,3
INV-004,Infosys Technologies Pvt Ltd,2025-03-15,PO-1005,38500,PDF,MATCH,1
INV-005,Wipro Digital Solutions,2025-02-01,PO-1007,72000,PDF,MATCH,2
INV-006,Wipro Digital Solutions,2025-03-25,PO-1008,29500,PDF,MATCH,3
INV-007,HCL Technologies Limited,2025-02-20,PO-1010,63000,DOCX,MATCH,1
INV-008,Mphasis Software Services,2025-03-05,PO-1013,54000,DOCX,MATCH,2
INV-009,Tata Consultancy Services Ltd,2025-04-02,PO-1003,71000,DOCX,AMOUNT_MISMATCH,3
INV-010,Infosys Technologies Pvt Ltd,2025-05-10,PO-1006,61000,DOCX,AMOUNT_MISMATCH,1
INV-011,HCL Technologies Limited,2025-04-10,PO-1011,95000,DOCX,AMOUNT_MISMATCH,2
INV-012,Mphasis Software Services,2025-05-20,PO-1014,82000,XLSX,AMOUNT_MISMATCH,1
INV-013,Wipro Digital Solutions,2025-04-22,PO-9901,48000,XLSX,PO_NOT_FOUND,2
INV-014,HCL Technologies Limited,2025-05-05,PO-9902,21000,XLSX,PO_NOT_FOUND,3
INV-015,Mphasis Software Svc,2025-05-25,PO-1015,33000,XLSX,VENDOR_MISMATCH,1
